Nome;Categoria;Prezzo;Peso;Kcal;Carboidrati;Zuccheri;Grassi;Fibre;Proteine
CarrefourCarrefour Fagioli Corona 3 x 400 g;condimenti e conserve;€ 2,59;720.0 g;93 kcal;12 g;0,8 g;0,7 g;6,5 g;6,5 g
CarrefourCarrefour Classic Sale Marino Super Fino Iodato 250 g;condimenti e conserve;€ 1,15;250.0 g;0 kcal;0 g;0 g;0 g;0 g;0 g
CarrefourCarrefour Sensation Cannellini all'Uccelletto 400 g;condimenti e conserve;€ 1,59;N/D;80 kcal;9,5 g;1,0 g;1,5 g;4,9 g;4,7 g
CarrefourCarrefour Piselli Fini 410 g;condimenti e conserve;€ 1,19;270.0 g;72 kcal;7,6 g;2,4 g;0,9 g;6,9 g;4,9 g
Terre d'ItaliaTerre d'Italia Olive Leccino d'Abruzzo in salamoia 300 g;condimenti e conserve;€ 2,78;N/D;1024kJ (249kcal);1,0g;0g;26g;5,4g;1,2g
CarrefourCarrefour Fagioli Corona 400 g;condimenti e conserve;€ 0,99;240.0 g;93 kcal;12 g;0,8 g;0,7 g;6,5 g;6,5 g
CarrefourCarrefour Farro cotto al Vapore 3 x 150 g;condimenti e conserve;€ 1,99;420.0 g;133 kcal;22 g;0,5 g;1,8 g;4,0 g;5,3 g
CarrefourCarrefour Germogli di Soia 3 x 200 g;condimenti e conserve;€ 2,29;270.0 g;91 kJ (22 kcal);2,3 g;2,3 g;0,2 g;1,9 g;1,7 g
CarrefourCarrefour Classic Brodo Granulare Vegetale 150 g;condimenti e conserve;€ 1,39;150.0 g;209 kcal;40 g;25 g;2,3 g;2,0 g;6,0 g
CarrefourCarrefour Piselli Fini 3 x 410 g;condimenti e conserve;€ 3,19;810.0 g;72 kcal;7,6 g;2,4 g;0,9 g;6,9 g;4,9 g
CarrefourCarrefour Classic Sale Marino Super Fino 250 g;condimenti e conserve;€ 0,99;250.0 g;0 kcal;0 g;0 g;0 g;0 g;0 g
CarrefourCarrefour inForma Carciofi a fette 280 g;condimenti e conserve;€ 2,99;170.0 g;80 kJ - 19 kcal;1,1 g;0,5 g;0,5 g;3,5 g;1,3 g
CarrefourCarrefour Soia cotta al Vapore 3 x 150 g;condimenti e conserve;€ 1,99;420.0 g;134 kcal;3,1 g;1,8 g;7,3 g;5,7 g;11 g
CarrefourCarrefour inForma Peperoni grigliati 280 g;condimenti e conserve;€ 2,19;160.0 g;70 kJ - 17 kcal;1,6 g;1,4 g;0,6 g;2,1 g;0,5 g
CarrefourCarrefour Classic Brodo Granulare Classico 150 g;condimenti e conserve;€ 1,69;150.0 g;185 kcal;40 g;33 g;0,5 g;1,7 g;5,1 g
CarrefourCarrefour Fagiolini Finissimi Tagliati 330 g;condimenti e conserve;€ 1,39;185.0 g;26 kcal;3,0 g;0,8 g;N/D;2,8 g;1,6 g
CarrefourCarrefour inForma Carciofi interi 280 g;condimenti e conserve;€ 3,19;170.0 g;80 kJ - 19 kcal;1,1 g;0,5 g;0,5 g;3,5 g;1,3 g
CarrefourCarrefour Carote Extra Fini 3 x 200 g;condimenti e conserve;€ 2,49;390.0 g;31 kcal;5,0 g;3,1 g;0,5 g;2,0 g;0,8 g
CarrefourOlive Bella di Cerignola “Il Mercato” Carrefour confezione 1 kg;condimenti e conserve;€ 8,48;1000.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Extra Olio Extra Vergine di Oliva 1 L;condimenti e conserve;€ 7,49;1000.0 ml;828 kcal;N/D;N/D;92 g;N/D;N/D
CarrefourCarrefour Classic Maionese 143 g;condimenti e conserve;€ 0,89;150.0 ml;652 kcal;2,0 g;0,9 g;71 g;0,6 g;1,0 g
CarrefourCarrefour Classic Maionese 480 g;condimenti e conserve;€ 1,99;500.0 ml;652 kcal;2,0 g;0,9 g;71 g;0,6 g;1,0 g
Terre d'ItaliaTerre d'Italia Olio Extra Vergine di Oliva Terra di Bari Bitonto DOP 750 ml;condimenti e conserve;€ 10,20;N/D;3389kJ (824kcal);N/D;N/D;91,6g;N/D;N/D
Terre d'ItaliaTerre d'Italia Olio Extra Vergine di Oliva Toscano IGP 0,75 L;condimenti e conserve;€ 14,30;N/D;824 kcal;N/D;N/D;91,6 g;N/D;N/D
CarrefourCarrefour Classic Maionese 247 g;condimenti e conserve;€ 1,45;260.0 ml;2683kJ (652kcal);2,0g;0,9g;71g;0,6g;1,0g
CarrefourCarrefour Extra Cucina Delicata Olio Extra Vergine di Oliva 1 L;condimenti e conserve;€ 7,49;1000.0 ml;828 kcal;N/D;N/D;92 g;N/D;N/D
CarrefourCarrefour Classic Carne Bovina in Gelatina 3 x 90 g;condimenti e conserve;€ 3,29;270.0 g;60 kcal;0,6 g;<0,5 g;1,5 g;N/D;11 g
CarrefourCarrefour Classic Maionese 240 g;condimenti e conserve;€ 1,19;250.0 ml;652 kcal;2,0 g;0,9 g;7,1 g;0,6 g;1,0 g
CarrefourCarrefour Classic Olio di Semi di Girasole per Frittura 1 L;condimenti e conserve;€ 2,29;1000.0 ml;828 kcal;0 g;0 g;92 g;N/D;0 g
CarrefourCarrefour Sottolio Melanzane a Filetti in olio di semi di girasole 280 g;condimenti e conserve;€ 1,65;280.0 g;373kJ (91kcal);2,0g;<0,5g;7,9g;4,6g;0,6g
CarrefourCarrefour Extra Olio Extra Vergine di Oliva 500 ml;condimenti e conserve;€ 3,99;500.0 ml;828 kcal;N/D;N/D;92 g;N/D;N/D
CarrefourCarrefour Maionese 6 x 12 g;condimenti e conserve;€ 1,19;12.0 g;728 kcal;0,6 g;0,6 g;80 g;N/D;1,4 g
CarrefourCarrefour Classic Olio di Oliva Composto da Oli di Oliva Raffinati e Oli di Oliva Vergini 1 L;condimenti e conserve;€ 6,99;1000.0 ml;823 kcal;N/D;N/D;91 g;N/D;N/D
CarrefourCarrefour Classic Senape Delicata 270 g;condimenti e conserve;€ 1,65;250.0 ml;378kJ (91kcal);6,0g;2,9g;4,5g;2,6g;5,2g
CarrefourCarrefour Extra Olio Extra Vergine di Oliva 100% Italiano 500 ml;condimenti e conserve;€ 5,99;500.0 ml;828 kcal;N/D;N/D;92 g;N/D;N/D
CarrefourCarrefour Classic Olio di Oliva Composto di Oli di Oliva Raffinati e Oli di Oliva Vergini 500 ml;condimenti e conserve;€ 3,49;500.0 ml;823 kcal;N/D;N/D;91 g;N/D;N/D
Terre d'ItaliaTerre d'Italia Olio Extra Vergine di Oliva IGP Olio di Puglia 500 ml;condimenti e conserve;€ 8,49;N/D;3389 kJ (824 kcal);N/D;N/D;92 g;N/D;N/D
Carrefour VeggieCarrefour Veggie Maionese 100% Vegetale 180 g;condimenti e conserve;€ 1,95;180.0 g;529 kcal;5,2 g;3,5 g;56 g;N/D;0,8 g
Terre d'ItaliaTerre d'Italia Olio Extra Vergine di Oliva prodotto in Italia Cultivar Taggiasca 500 ml;condimenti e conserve;€ 9,19;N/D;824 kcal;N/D;N/D;92 g;N/D;N/D
CarrefourCarrefour Olio Extra Vergine di Oliva Non filtrato 1 l;condimenti e conserve;€ 8,49;1000.0 ml;3367kJ (819kcal);0g;0g;91g;N/D;0g
La Drogheria 1880La Drogheria 1880 Curry Delicato 30 g;condimenti e conserve;€ 2,69;30.0 g;1432 kJ / 342 kcal;32 g;2,2 g;14 g;25 g;15 g
CarrefourCarrefour Classic Olio di Semi di Girasole per Frittura 2 L;condimenti e conserve;€ 4,49;2.0 l;826 kcal;0 g;0 g;92 g;N/D;0 g
Terre d'ItaliaTerre d'Italia Pesto Rosso di Sicilia 190 g;condimenti e conserve;€ 4,29;N/D;2529kJ (621kcal);8,5g;4,2g;62g;3,0g;5,7g
CarrefourCarrefour Classic Olio di Semi di Soia 1 L;condimenti e conserve;€ 2,19;1000.0 ml;828 kcal;0 g;0 g;92 g;N/D;0 g
ChiquitaBanane Chiquita sfuse;frutta e verdura;€ 1,35;0.85 kg;N/D;N/D;N/D;N/D;N/D;N/D
FruttaBanane;frutta e verdura;€ 1,20;600.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Cossano FruttaZucchine convenienza 1 kg;frutta e verdura;€ 1,85;1000.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourUva Bianca Senza Semi 500 g;frutta e verdura;€ 2,45;500.0 g;N/D;N/D;N/D;N/D;N/D;N/D
ORTOMI'Pomodoro Ciliegino 500 gr;frutta e verdura;€ 1,85;N/D;N/D;N/D;N/D;N/D;N/D;N/D
VerduraZucchine Italia I categoria calibro 14/21;frutta e verdura;€ 1,95;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
SimplSimpl Carote 1 kg;frutta e verdura;€ 1,18;1000.0 g;N/D;N/D;N/D;N/D;N/D;N/D
VerduraCavolfiore Italia I categoria calibro 7/8;frutta e verdura;€ 3,56;1.80 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourPomodoro Piccadilly 500 gr.;frutta e verdura;€ 1,98;500.0 g;N/D;N/D;N/D;N/D;N/D;N/D
ZuccaZucca a cubetti 400 g;frutta e verdura;€ 2,18;400.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourCarote 750 g Filiera Qualità Carrefour;frutta e verdura;€ 1,48;750.0 g;N/D;N/D;N/D;N/D;N/D;N/D
VerduraBroccoli sfusi I categoria Italia;frutta e verdura;€ 1,69;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourBroccoletti 500 g;frutta e verdura;€ 1,39;500.0 g;N/D;N/D;N/D;N/D;N/D;N/D
ZespriZespri Kiwi Hayward 0,500 kg;frutta e verdura;€ 4,48;500.0 g;2,3 g (4,3 g/100 kcal);9,8 g;9,7 g;0,5 g;N/D;0,5 g
Terre d'ItaliaTerre d'Italia Patata di Bologna D.O.P. 1,5 kg;frutta e verdura;€ 3,28;N/D;N/D;N/D;N/D;N/D;N/D;N/D
PeperoniPeperoni convenienza;frutta e verdura;€ 2,98;1.0 kg;N/D;N/D;N/D;N/D;N/D;N/D
KioeneKioene l'Originale 4 Mini Burger con Spinaci Italiani 200 g;frutta e verdura;€ 3,09;N/D;993 kJ/238 kcal;13 g;3,6 g;15 g;3,7 g;11 g
SimplSimpl Pomodoro Datterino 250 g;frutta e verdura;€ 0,98;250.0 g;N/D;N/D;N/D;N/D;N/D;N/D
FruttaCachi mela Sharon 250 g;frutta e verdura;€ 1,45;250.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Lattughino 125 g;frutta e verdura;€ 1,28;125.0 g;17 kcal;2,2 g;2,2 g;0,5 g;1,5 g;1,1 g
FruttaArance Navelinas 1,5 Kg;frutta e verdura;€ 3,58;1500.0 g;N/D;N/D;N/D;N/D;N/D;N/D
SelenellaSelenella 1,5 kg;frutta e verdura;€ 3,35;1.5 kg;92 kcal;18 g;0,5 g;1,0 g;1,6 g;2,1 g
Terre d'ItaliaTerre d'Italia Patata del Fucino IGP 1,5 kg;frutta e verdura;€ 2,98;N/D;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourFiliera Qualità Carrefour Uva Pizzutella sfusa;frutta e verdura;€ 4,15;1 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourMele golden FQC 1 kg Italia I categoria calibro 80-90;frutta e verdura;€ 2,35;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
VerduraCavolo nero sfuso origine Italia categoria I;frutta e verdura;€ 1,39;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Funghi Champignon bianchi affettati bianchi 0,300 Kg;frutta e verdura;€ 2,58;300.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour BioCarrefour Bio Limoni Primofiore Bio 500 g;frutta e verdura;€ 1,58;500.0 g;N/D;N/D;N/D;N/D;N/D;N/D
PatatePatate sfuse origine Italia;frutta e verdura;€ 2,47;1.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Insalata1 x cespo Insalata Lattuga Romana sfusa cat. I origine Italia;frutta e verdura;€ 0,89;0.45 kg;N/D;N/D;N/D;N/D;N/D;N/D
MelindaMelinda Golden D.O.P. Mela Val di Non 3 kg;frutta e verdura;€ 4,50;3.0 kg;N/D;N/D;N/D;N/D;N/D;N/D
FruttaArance con foglia 1 kg Italia I categoria calibro 3-4;frutta e verdura;€ 1,98;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
MelanzaneMelanzane Convenienza 1 kg;frutta e verdura;€ 1,95;1.0 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourZucchine scure FQC;frutta e verdura;€ 2,18;800.0 g;N/D;N/D;N/D;N/D;N/D;N/D
VerduraCarote del Fucino IGP 500 g;frutta e verdura;€ 1,00;500.0 g;N/D;N/D;N/D;N/D;N/D;N/D
BonduelleBonduelle Iceberg 200 g;frutta e verdura;€ 1,98;200.0 g;77 kJ - 18 kcal;2,5 g;1,5 g;0,5 g;1,2 g;1,0 g
VerduraCetrioli Sfusi Cat. I Calibro 1 Italia;frutta e verdura;€ 1,38;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Songino 125 g;frutta e verdura;€ 1,28;125.0 g;29 kcal;3,6 g;3,6 g;0,5 g;1,5 g;2,0 g
JingoldKiwi Polpa Gialla;frutta e verdura;€ 4,98;500.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Insalata 3 Gusti 250 g;frutta e verdura;€ 1,58;250.0 g;20 kcal;2,4 g;2,4 g;0,5 g;2,0 g;1,1 g
BrunelliInsalata Iceberg 350 g;frutta e verdura;€ 1,38;350.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Spinaci 500 g;frutta e verdura;€ 1,98;500.0 g;35 kcal;2,9 g;0,5 g;0,7 g;1,9 g;3,4 g
Filiera Qualità CarrefourCachi Vassoio 1 kg Filiera Qualità Carrefour;frutta e verdura;€ 2,39;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourMelanzane tonde globose I categoria Italia calibro 85-105;frutta e verdura;€ 1,98;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Noci sgusciate 100 g;frutta e verdura;€ 2,88;100.0 g;699 kcal;5 g;1,5 g;67 g;5,9 g;17 g
Insalate1 x cespo Insalata Lattuga Trocadero sfusa cat. I origine Italia;frutta e verdura;€ 0,89;450.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourInsalata Belga;frutta e verdura;€ 1,98;500.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Cime di rapaCime di rapa sfuse origine Italia;frutta e verdura;€ 1,37;0.60 kg;N/D;N/D;N/D;N/D;N/D;N/D
Terre d'ItaliaCachi dell'Emilia Romagna;frutta e verdura;€ 2,24;N/D;N/D;N/D;N/D;N/D;N/D;N/D
SimplSimpl Cipolle dorate 1 kg;frutta e verdura;€ 1,18;1.0 kg;N/D;N/D;N/D;N/D;N/D;N/D
AgrumiArance Navel 3 kg;frutta e verdura;€ 4,48;3.0 kg;N/D;N/D;N/D;N/D;N/D;N/D
BonduelleBonduelle Carta delle Insalate Ricetta Vivace 200 g;frutta e verdura;€ 1,98;200.0 g;113 kJ- 27 kcal;3,5 g;3,5 g;0,5 g;2,1 g;1,5 g
CarrefourCarrefour il Mercato Mandorle sgusciate 250 g;frutta e verdura;€ 3,98;250.0 g;596 kcal;9,1 g;4,4 g;50 g;13 g;21 g
DoleBanane Leader in vassoio;frutta e verdura;€ 2,88;1000.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
VerduraPeperoni Rossi 1 kg Italia Categoria I Calibro 90-110 mm;frutta e verdura;€ 3,15;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
FruttaLimoni 750 g;frutta e verdura;€ 2,75;750.0 g;N/D;N/D;N/D;N/D;N/D;N/D
KioeneKioene l'Originale 4 Mini Burger con Zucca e Carote 200 g;frutta e verdura;€ 3,09;N/D;986 kJ/237 kcal;16 g;3,2 g;14 g;3,7 g;9,8 g
SimplSimpl cuori di Iceberg 350 g;frutta e verdura;€ 1,55;350.0 g;15 kcal;2,0 g;2,0 g;0,5 g;1,2 g;0,9 g
CarrefourCarrefour Filiera Qualità Cipolle Dorate 750 g;frutta e verdura;€ 1,58;750.0 g;N/D;N/D;N/D;N/D;N/D;N/D
VerduraCavoletti di Bruxelles 370 g;frutta e verdura;€ 1,98;370.0 g;N/D;N/D;N/D;N/D;N/D;N/D
PomodoriPomodoro tondo insalataro sfuso origine Italia;frutta e verdura;€ 2,78;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourClementine Filiera Qualità Carrefour;frutta e verdura;€ 2,58;2.0 kg;N/D;N/D;N/D;N/D;N/D;N/D
ColturePomodori mix colorati;frutta e verdura;€ 2,58;300.0 g;N/D;N/D;N/D;N/D;N/D;N/D
VerduraPorri sfusi;frutta e verdura;€ 1,64;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Terre d'ItaliaTerre d'Italia Patata della Sila IGP 1,5 kg;frutta e verdura;€ 3,18;N/D;N/D;N/D;N/D;N/D;N/D;N/D
PerePere Abate Fetel;frutta e verdura;€ 2,48;1.0 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Mango 380 g;frutta e verdura;€ 2,18;380.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourUva rossa e bianca senza semi;frutta e verdura;€ 3,18;500.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Rucola 125 g;frutta e verdura;€ 1,28;125.0 g;31 kcal;3,9 g;3,9 g;0,5 g;0,9 g;2,6 g
AgrumiArance Navelinas sfuse categoria I calibro 82-91mm origine Spagna;frutta e verdura;€ 5,30;2.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour il MercatoCarrefour il Mercato Mirtilli 250 g;frutta e verdura;€ 4,98;250.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Mele Red Delicious 2 kg;frutta e verdura;€ 3,38;2.0 kg;N/D;N/D;N/D;N/D;N/D;N/D
CipolleCipolle Dorate Sfuse;frutta e verdura;€ 0,82;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Cuori di Lattuga 200 g;frutta e verdura;€ 1,98;200.0 g;22 kcal;3,0 g;3,0 g;0,5 g;1,3 g;1,5 g
MelindaMelinda Golden D.O.P. Mela Val di Non 0,900 kg;frutta e verdura;€ 2,75;900.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CIDPomodoro Datterino Rosso;frutta e verdura;€ 2,18;300.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Frutta seccaPinoli 15 g;frutta e verdura;€ 0,99;15.0 g;2838 kJ / 687 kcal;10 g;4,6 g;63 g;3,9 g;18 g
FruttaAvocado Hass 550 g;frutta e verdura;€ 3,15;550.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Purè di Patate 420 g;frutta e verdura;€ 2,18;420.0 g;71 kcal;11 g;2,2 g;2,0 g;0,9 g;2,0 g
CarrefourCarrefour il Mercato Lattughino 200 g;frutta e verdura;€ 1,98;200.0 g;17 kcal;2,2 g;2,2 g;0,5 g;1,5 g;1,1 g
BrunelliSedano verde;frutta e verdura;€ 1,58;500.0 g;N/D;N/D;N/D;N/D;N/D;N/D
ZuccaMedaglioni di zucca tagliati;frutta e verdura;€ 1,98;400.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Frutta seccaNoci Sgusciate 40 g;frutta e verdura;€ 0,99;40.0 g;2838 kJ / 688 kcal;3,9 g;2,2 g;65,2 g;6,7 g;18,0 g
VerduraPomodoro oblungo verde sfuso cat. I calibro 35/40 origine Italia/Spagna;frutta e verdura;€ 2,98;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
InsalataInsalata scarola sfusa categoria I;frutta e verdura;€ 1,55;0.60 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Legumi Lenticchie Mignon 500 g;frutta e verdura;€ 1,78;500.0 g;332 kcal;51 g;1,8 g;1 g;14 g;23 g
AscheriBasilico 30 g;frutta e verdura;€ 1,00;30.0 g;N/D;N/D;N/D;N/D;N/D;N/D
FruttaFragole 250 g;frutta e verdura;€ 3,58;250.0 g;N/D;N/D;N/D;N/D;N/D;N/D
PevianiMirtilli 125 g;frutta e verdura;€ 1,98;125.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Filiera Qualità Cipolle Rosse 750 g;frutta e verdura;€ 1,58;750.0 g;N/D;N/D;N/D;N/D;N/D;N/D
VerduraRadicchio rosso tondo sfuse origine Italia categoria I;frutta e verdura;€ 1,14;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourScalogno Italia 250g FQC;frutta e verdura;€ 1,68;250.0 g;N/D;N/D;N/D;N/D;N/D;N/D
SimplSimpl Mele golden 2 kg;frutta e verdura;€ 1,98;2.0 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Carote Julienne 250 g;frutta e verdura;€ 1,00;250.0 g;43 kcal;7,6 g;7,6 g;0,5 g;3,1 g;1,1 g
Carrefour BioCarrefour Bio Songino 70 g;frutta e verdura;€ 0,99;70.0 g;29 kcal;3,6 g;3,6 g;0,5 g;1,5 g;2,0 g
FruttaSusine Convenienza 500 g;frutta e verdura;€ 1,28;500.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Conor MilanoCipollotti 200 g;frutta e verdura;€ 1,35;200.0 g;N/D;N/D;N/D;N/D;N/D;N/D
VerduraZucchine chiare sfuse categoria I calibro 14/21 origine Italia;frutta e verdura;€ 3,48;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
SimplSimpl Insalata mista alla Julienne 350 g;frutta e verdura;€ 1,55;350.0 g;19 kcal;2,4 g;1,7 g;0,5 g;2,2 g;1,1 g
CondifrescoAglio bianco gr. 150;frutta e verdura;€ 1,58;150.0 g;N/D;N/D;N/D;N/D;N/D;N/D
BonduelleBonduelle Carta delle Insalate Ricetta Deliziosa 200 g;frutta e verdura;€ 1,98;200.0 g;79 kJ - 19 kcal;1,2 g;1,2 g;0,5 g;1,6 g;1,8 g
Carrefour BioCarrefour Bio Noci sgusciate 30 g;frutta e verdura;€ 0,99;30.0 g;686 kcal;7,0 g;2,6 g;65 g;6,7 g;15 g
PatatePatate Residuo Zero 1 kg;frutta e verdura;€ 3,28;1500.0 g;N/D;N/D;N/D;N/D;N/D;N/D
FruttaKiwi gold sfusi categoria I origine Nuova Zelanda;frutta e verdura;€ 4,49;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Zuppa con Verdure e Farro 620 g;frutta e verdura;€ 2,98;620.0 g;44 kcal;6,9 g;0,9 g;0,7 g;1,4 g;1,8 g
VerduraPeperoni gialli 1 kg Italia I categoria calibro 90-110 mm;frutta e verdura;€ 3,15;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour BioCarote Bio 500 g;frutta e verdura;€ 1,98;500.0 g;N/D;N/D;N/D;N/D;N/D;N/D
SimplSimpl Insalata Mista 4 Gusti;frutta e verdura;€ 0,99;200.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourAglio bianco Italia 250g FQC;frutta e verdura;€ 2,38;250.0 g;N/D;N/D;N/D;N/D;N/D;N/D
FruttaUva nera sfusa 500 g Italia categoria I;frutta e verdura;€ 1,57;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
ZuccaZucca porzionata 800 g;frutta e verdura;€ 1,98;800.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato mousse 100% mela Golden Delicious 2 x 100 g;frutta e verdura;€ 1,38;200.0 g;59 kcal;13 g;10 g;0,5 g;1,7 g;0,5 g
Frutta seccaPower Mix 75 g;frutta e verdura;€ 0,99;75.0 g;2077 kJ / 499 kcal;36,2 g;27,9 g;30,1 g;7,6 g;16,9 g
Filiera Qualità CarrefourMele Red Delicious FQC 1 kg Italia I categoria calibro 80-85/85-90;frutta e verdura;€ 2,28;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
Euro CompanyEuro Company 100% Crema di Nocciole Bio 175 g;frutta e verdura;€ 5,98;175.0 g;2903 kJ / 703 kcal;8,5 g;4,1 g;66 g;5,6 g;16 g
CarrefourPrezzemolo 40 g;frutta e verdura;€ 1,00;40.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour BioCarrefour Bio Anacardi sgusciati biologici 30 g;frutta e verdura;€ 0,99;30.0 g;597 kcal;25 g;4,7 g;46 g;3,3 g;19 g
MelindaMelinda Mousse mela Golden di Montagna 100 g;frutta e verdura;€ 0,85;100.0 g;234 Kj - 55 Kcal;12 g;10 g;0 g;1,6 g;0 g
Carrefour BioCarrefour Bio Insalatina mista 80 g;frutta e verdura;€ 0,99;80.0 g;21 kcal;2,0 g;1,5 g;0,5 g;1,7 g;1,7 g
PerePere William sfuse categoria I origine Italia;frutta e verdura;€ 3,58;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourLimoni di Sicilia 750 g;frutta e verdura;€ 2,75;750.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Passato di Verdure Invernale 620 g;frutta e verdura;€ 2,98;620.0 g;32 kcal;4,4 g;1,7 g;0,8 g;1,5 g;0,9 g
BianchiBianchi Carote Cotte a Vapore 250 g;frutta e verdura;€ 1,15;250.0 g;154 kJ / 37 kcal;6,4 g;5,5 g;0,3 g;2,7 g;0,8 g
KioeneKioene 2 Burger con Melanzane 200 g;frutta e verdura;€ 3,09;200.0 g;939 kJ/225 kcal;15 g;1,7 g;12 g;4,5 g;12 g
CarrefourCarrefour il Mercato mousse Mela e Frutti di Bosco 2 x 100 g;frutta e verdura;€ 1,38;200.0 g;62 kcal;14 g;10 g;0,5 g;1,5 g;0,7 g
Carrefour BioCarrefour Bio Gallette di Mais 120 g;pane e snack;€ 0,99;120.0 g;386 kcal;85 g;<0,5 g;1,5 g;1,7 g;7,7 g
Carrefour BioCarrefour Bio Triangolini di mais 90 g;pane e snack;€ 0,99;90.0 g;426 kcal;76 g;<0,5 g;10 g;2,6 g;6,7 g
CarrefourCarrefour Classic Patatine Rustiche 6 x 25 g;pane e snack;€ 2,09;150.0 g;538 kcal;52 g;<0,5 g;33 g;3,5 g;6,5 g
nutellanutella donut 2 x 60 g;pane e snack;€ 2,98;120.0 g;1849 kJ/ 442 kcal;53,4 g;23,4 g;21,3 g;N/D;8,1 g
CarrefourBaguette 250 g;pane e snack;€ 0,75;250.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourPane Ciabatta;pane e snack;€ 1,49;230.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourFiloncino alle olive;pane e snack;€ 1,09;0.11 kg;N/D;N/D;N/D;N/D;N/D;N/D
SimplSimpl Quadrotta;pane e snack;€ 1,99;1.00 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourBaguette Suprema 260 g;pane e snack;€ 1,29;260.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Banco panetteria CarrefourFiloncino alle noci;pane e snack;€ 1,19;0.12 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourBaguette -50% di Sale;pane e snack;€ 1,49;250.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourBaguette ai cereali;pane e snack;€ 1,79;200.0 g;N/D;N/D;N/D;N/D;N/D;N/D
